experiment,fold,mse,rmse,mae,r2,base_features,tool_features,operation_features,total_features,time_sec
C05_tool100_anomaly_operation,4,0.01088676925230372,0.10433968205962543,0.08084405797810013,0.7402755584076256,300,100,45,450,-1.9999970390927047e-07
C05_tool100_anomaly_operation,5,0.020981595084519532,0.14485025055042028,0.08652272257741926,0.5581118723953042,300,100,45,450,-1.00000761449337e-07
C06_tool150_anomaly_operation,1,0.010392235069085657,0.10194231245702472,0.07844261253370449,0.7359661059737868,300,150,42,497,-1.9999970390927047e-07
C06_tool150_anomaly_operation,2,0.007927410905775856,0.08903600904002748,0.07058666848449743,0.8229378952334612,300,150,45,500,-1.9999970390927047e-07
C06_tool150_anomaly_operation,3,0.010145053188524902,0.10072265479287618,0.07836881590949754,0.7717698241366058,300,150,45,500,-3.0000046535860747e-07
C06_tool150_anomaly_operation,4,0.011073364449224767,0.1052300548760893,0.08079836040340149,0.7358239775757931,300,150,45,500,-3.0000046535860747e-07
C06_tool150_anomaly_operation,5,0.020928826683019226,0.14466798776169945,0.08839308918193739,0.5592232145045067,300,150,45,500,-1.9999970390927047e-07
C07_tool200_anomaly_operation,1,0.010249997581888104,0.10124227171437879,0.07751880780295428,0.7395799116057429,300,200,42,547,-1.9999970390927047e-07
C07_tool200_anomaly_operation,2,0.008017161321165556,0.08953860240793104,0.07054531023354732,0.8209332814142137,300,200,45,550,-1.9999970390927047e-07
C07_tool200_anomaly_operation,3,0.009369884671184363,0.09679816460648602,0.07550215700021637,0.7892085544959999,300,200,45,550,-1.9999970390927047e-07
C07_tool200_anomaly_operation,4,0.011774215848179963,0.10850905883003485,0.08390888102917253,0.7191038438047616,300,200,45,550,-3.0000046535860747e-07
C07_tool200_anomaly_operation,5,0.021812992867453647,0.1476922234494885,0.09053903243831243,0.5406020115808368,300,200,45,550,-2.00001522898674e-07
C08_tool300_anomaly_operation,1,0.010343814364849385,0.10170454446507976,0.07795782472083186,0.7371963232471648,300,300,42,647,-1.9999970390927047e-07
C08_tool300_anomaly_operation,2,0.008300131695321877,0.09110505856055347,0.07123774624537994,0.8146130173796866,300,300,45,650,-2.999986463692039e-07
C08_tool300_anomaly_operation,3,0.009245133236837514,0.09615161588261278,0.07438326314887456,0.7920150495701113,300,300,45,650,-9.999894245993346e-08
C08_tool300_anomaly_operation,4,0.010749125183113706,0.1036779879391653,0.08081158429953346,0.7435593176368674,300,300,45,650,-3.0000046535860747e-07
C08_tool300_anomaly_operation,5,0.021568097109392365,0.14686080862296913,0.0899591073290816,0.5457596999049183,300,300,45,650,-9.999894245993346e-08
