selector,variance_threshold,transform,scaler,reducer,top_k,fold,mse,rmse,mae,r2,n_features,explained_variance,elapsed_sec
baseline,0.0,none,standard,pca95,0,3,0.019901925266051314,0.1410741835562103,0.109603360430873,0.552272440658198,198,0.9503128457048144,5.675592999999935
baseline,0.0,none,standard,pca95,0,4,0.02075432965259922,0.14406363056857627,0.11189075875934765,0.5048662688882894,197,0.9500246543308901,5.617014699999345
baseline,0.0,none,standard,pca95,0,5,0.028220093158068865,0.16798837209184708,0.11714012141830979,0.40566367446249396,197,0.9502975618164222,5.628228800000215
baseline,0.0,none,standard,pca50,0,1,0.01807829804256771,0.13445556159031768,0.10517476468448805,0.5406875039090517,50,0.7801322165797286,4.433904200001052
baseline,0.0,none,standard,pca50,0,2,0.023302835499676773,0.1526526629301853,0.1175149318986842,0.47952122708878675,50,0.7828804158114474,4.757039799998893
baseline,0.0,none,standard,pca50,0,3,0.020754094885475555,0.14406281576269275,0.11154082054049388,0.533101439925878,50,0.7840600762443166,4.566145399998277
baseline,0.0,none,standard,pca50,0,4,0.02133031093417909,0.14604900182534317,0.11499745377246384,0.4911251476006919,50,0.7836776320912348,4.7625857000002725
baseline,0.0,none,standard,pca50,0,5,0.02752459667133068,0.1659053846966116,0.1131291929949585,0.4203113520600439,50,0.7846432206905231,4.617380700001377
baseline,0.0,none,standard,svd50,0,1,0.018583697201362555,0.13632203490765005,0.10700968096251535,0.5278469063814675,50,0.7799594294134368,4.640619400001015
baseline,0.0,none,standard,svd50,0,2,0.023753984796651566,0.15412327791950042,0.11777363135515144,0.4694446150605014,50,0.7828068444287272,4.6016318000001775
baseline,0.0,none,standard,svd50,0,3,0.020721723895857823,0.1439504216591873,0.11045315933321156,0.5338296802333495,50,0.7839766794640902,4.617025699999431
baseline,0.0,none,standard,svd50,0,4,0.0207245583174931,0.14396026645395282,0.11153770181687599,0.5055765203142816,50,0.7836237248612127,4.6371292999992875
baseline,0.0,none,standard,svd50,0,5,0.028010501954269316,0.16736338295538042,0.1149363161168436,0.4100778223972107,50,0.7845492020167296,4.64994680000018
baseline,0.0,none,standard,none,0,1,0.011556568226917922,0.10750148011501015,0.0781305712676178,0.7063840752015229,2690,1.0,16.442056000001685
baseline,0.0,none,standard,none,0,2,0.01071922196227226,0.10353367549871037,0.07988138307203359,0.7605816041758617,2692,1.0,16.521931700001005
baseline,0.0,none,standard,none,0,3,0.012333666411073875,0.11105704124941325,0.08377398515563408,0.7225332581574055,2691,1.0,16.245825500000137
baseline,0.0,none,standard,none,0,4,0.012403833100481928,0.11137249705596947,0.0862871697870783,0.7040831351370869,2690,1.0,16.236741799999436
baseline,0.0,none,standard,none,0,5,0.021315549818424963,0.14599845827413713,0.08895427887804233,0.5510785352502616,2687,1.0,16.52176540000073
baseline,0.0,none,minmax,none,0,1,0.011556568226917922,0.10750148011501015,0.0781305712676178,0.7063840752015229,2690,1.0,16.29945150000094
baseline,0.0,none,minmax,none,0,2,0.010796078999869474,0.10390418182089436,0.08031941103630232,0.7588649694504979,2692,1.0,16.506895100001202
baseline,0.0,none,minmax,none,0,3,0.012333666411073875,0.11105704124941325,0.08377398515563408,0.7225332581574055,2691,1.0,16.58417609999924
baseline,0.0,none,minmax,none,0,4,0.012403833100481928,0.11137249705596947,0.0862871697870783,0.7040831351370869,2690,1.0,16.9072400999994
baseline,0.0,none,minmax,none,0,5,0.021315549818424963,0.14599845827413713,0.08895427887804233,0.5510785352502616,2687,1.0,15.88223199999993
