feature,operation,mean_importance,std_importance,selected_folds
proc__311__mean_z,311,0.0008514887,0.00048167002,5
raw__344X22,344,0.00084507716,,1
proc__344__min_z,344,0.0008373851,0.0012749301,4
raw__210X160,210,0.0008274156,0.00035213624,4
raw__311X70,311,0.00082231424,0.0005483211,5
cat__Chamber ID_1,META,0.0008210852,0.0017001698,2
raw__311X8,311,0.0008154159,0.0014829572,5
raw__ERROR:#N/A_8,META,0.00081339985,0.0008234481,3
proc__440A__min_z,440A,0.0008112638,0.00033422504,5
proc__360__range_z,360,0.00080655265,0.00051441946,5
raw__750X185,750,0.0008044674,0.00022314664,3
raw__311X151,311,0.00080348924,0.0017236256,3
proc__210__outlier_rate,210,0.0008033758,0.0008565835,4
route__220_to_300__gap_hours,220_to_300,0.00078826724,0.00040030346,5
raw__750X252,750,0.00078742555,,1
raw__311X67,311,0.00078671204,0.0006181508,5
raw__360X702,360,0.0007851075,,1
proc__520__mean_z,520,0.00078490487,0.0006590829,5
time__420__span_min,420,0.000782484,0.00057012576,5
raw__344X105,344,0.00077870535,0.0015279516,2
proc__360__outlier_rate,360,0.0007735531,0.0007096698,4
time__300__span_min,300,0.00077035156,0.00026662994,5
proc__210__q75_z,210,0.00076593185,0.00046784367,5
raw__310X119,310,0.00075727614,,1
raw__750X155,750,0.0007565983,0.00013155644,2
proc__330__q75_z,330,0.00075434765,0.00048663968,5
proc__440A__max_z,440A,0.00075156905,0.00017907632,5
route__310_to_311__gap_hours,310_to_311,0.0007515536,0.00017473628,5
time__330__end_day,330,0.0007511343,0.0010739678,2
proc__311__median_z,311,0.00074745057,0.0010279386,2
proc__310__range_z,310,0.00074030703,0.00058038335,5
raw__ERROR:#N/A_25,META,0.0007402919,0.0005740936,2
proc__400__q75_z,400,0.0007391626,0.00031152336,5
proc__344__zero_rate,344,0.0007362473,0.00043209945,5
raw__750X294,750,0.0007270896,0.00036788124,4
raw__330X595,330,0.0007245084,0.000701736,2
raw__344X85,344,0.00070521457,0.0014025394,2
proc__400__range_z,400,0.0007042335,0.00044767684,5
raw__520X23,520,0.00070332387,0.0012042905,2
proc__400__std_z,400,0.0007011107,0.0003141035,5
proc__210__zero_rate,210,0.00069153734,0.00086183293,3
proc__220__range_z,220,0.00068623555,0.0005366701,5
proc__344__mean_z,344,0.00068074063,0.00036964536,5
time__420__median_day,420,0.00067990145,0.0010137439,4
raw__420X209,420,0.00067754317,0.00095819077,1
raw__311X77,311,0.00067143387,0.00064641424,2
raw__311X69,311,0.00066967576,0.0009990191,5
raw__750X198,750,0.0006662292,,1
proc__310__q25_z,310,0.0006632371,0.0002774782,5
proc__220__min_z,220,0.0006625446,0.00043678712,5
proc__210__min_z,210,0.00066246424,0.00047021132,5
proc__300__q75_z,300,0.0006620247,0.0013200738,3
proc__300__max_z,300,0.0006585699,0.00065143534,5
raw__420X212,420,0.0006578535,0.00013299249,2
proc__220__q75_z,220,0.0006455231,0.00035707103,5
proc__420__max_z,420,0.0006446211,0.0009904722,4
raw__210X166,210,0.00064337713,0.00034007494,3
raw__360X434,360,0.0006403865,,1
proc__340__zero_rate,340,0.00064015714,0.00024224697,5
raw__344X159,344,0.0006359202,0.0003603974,5
raw__210X212,210,0.0006327568,0.00042085318,3
raw__344X149,344,0.00062200974,0.00093604083,2
time__311__span_min,311,0.0006206737,0.00024482343,5
route__300_to_310__gap_hours,300_to_310,0.000607706,0.0004498727,5
raw__311X65,311,0.00060713646,0.00052859087,5
raw__311X192,311,0.0005963638,0.00024134165,5
time__420__start_day,420,0.0005898787,0.0005684499,4
raw__420X208,420,0.0005887903,0.0005166501,3
proc__520__std_z,520,0.00058357784,0.00029773137,5
raw__344X176,344,0.0005748399,0.0003647426,4
raw__420X70,420,0.00056233746,0.0008370174,4
raw__520X178,520,0.00056167284,,1
raw__210X164,210,0.00056158385,0.00023545822,4
raw__210X149,210,0.0005604784,0.00030371375,5
raw__210X130,210,0.0005599497,0.0002135668,2
raw__210X161,210,0.00055693235,0.00038586123,4
proc__311__min_z,311,0.0005568351,0.000390259,5
raw__750X661,750,0.0005563277,,1
raw__520X97,520,0.00055483874,0.0003355435,3
proc__750__median_z,750,0.0005517245,0.00015359212,5
proc__344__std_z,344,0.0005448901,0.00055230974,5
time__220__span_min,220,0.00054178823,0.00022671153,5
proc__210__q25_z,210,0.0005410337,0.0003324064,5
raw__311X28,311,0.0005396494,0.00029786758,4
proc__300__range_z,300,0.0005383759,0.00075607066,4
raw__420X91,420,0.00053491077,0.00038874522,3
raw__311X52,311,0.0005331138,6.88162e-05,3
raw__360X14,360,0.00053181377,0.00092112843,1
raw__520X37,520,0.00052869215,,1
raw__311X75,311,0.00052740006,0.0005126868,5
raw__210X137,210,0.0005257197,0.00036976064,3
raw__210X42,210,0.0005225242,,1
raw__360X155,360,0.0005131103,,1
proc__340__outlier_rate,340,0.0005099074,0.00048913143,4
proc__312__outlier_rate,312,0.00050100574,0.00030366646,5
raw__340X11,340,0.00049811346,0.00034484427,3
proc__312__mean_z,312,0.00049756095,0.00033195908,5
raw__210X27,210,0.0004969038,,1
raw__210X54,210,0.0004950059,,1
raw__311X71,311,0.00049443485,0.00032605985,5
raw__210X143,210,0.00049211556,0.000449952,3
proc__330__std_z,330,0.0004912235,0.00043420383,5
raw__210X61,210,0.00049017504,,1
raw__210X159,210,0.00048729297,0.00021441295,5
raw__311X68,311,0.0004867898,0.0006411019,5
proc__520__range_z,520,0.00048268825,0.00014539422,5
raw__360X776,360,0.0004821958,0.00045913944,2
raw__210X142,210,0.00048064278,,1
proc__330__median_z,330,0.0004776135,0.0001893551,5
raw__210X153,210,0.0004727764,0.00017892115,3
proc__344__q75_z,344,0.00047152,0.00014929844,5
raw__311X155,311,0.00047147452,0.0009890649,2
proc__520__q25_z,520,0.00046853177,0.00036059722,5
raw__311X5,311,0.00046564118,,1
raw__420X96,420,0.00046431494,0.00053969433,3
route__360_to_400__gap_hours,360_to_400,0.00046319136,0.00019483852,5
proc__360__min_z,360,0.00046280405,0.00014041727,5
proc__400__mean_z,400,0.00045205466,0.0003551743,5
proc__420__zero_rate,420,0.0004518369,0.0002797843,5
raw__420X4,420,0.00045120373,0.00023660592,2
raw__420X98,420,0.00044981777,0.00037749216,5
raw__520X177,520,0.00044779657,0.00013197046,2
proc__344__max_z,344,0.0004462797,0.00020529461,5
raw__420X38,420,0.00044549006,0.0006429168,2
proc__340__q75_z,340,0.00044545095,0.00025908905,5
route__420_to_520__gap_hours,420_to_520,0.000442849,0.00018809988,5
raw__750X1116,750,0.000442579,0.00028894976,5
raw__311X76,311,0.0004407699,0.00021891795,5
proc__310__std_z,310,0.00044033513,0.00021348591,5
proc__312__q75_z,312,0.00043868157,0.00027250435,5
proc__520__q75_z,520,0.0004298393,0.0005561979,5
proc__360__std_z,360,0.00042878432,0.00039579254,5
proc__220__mean_z,220,0.00042271064,0.00013293764,5
proc__750__mean_z,750,0.0004211884,0.00015574065,5
raw__520X52,520,0.0004149996,,1
raw__210X193,210,0.0004143727,0.0006150458,5
proc__340__mean_z,340,0.00041348254,7.11506e-05,5
proc__344__range_z,344,0.00040926732,0.00020133803,5
proc__300__std_z,300,0.0004061292,0.00017702815,5
proc__312__zero_rate,312,0.00040149555,0.00020499225,5
proc__360__mean_z,360,0.0003976402,0.00035184802,5
raw__210X117,210,0.00039763554,,1
raw__344X37,344,0.00038763677,,1
raw__420X194,420,0.00038490153,,1
raw__311X205,311,0.0003848841,0.00016620648,5
proc__360__q75_z,360,0.00038116198,0.0002567392,5
proc__310__mean_z,310,0.00038086963,6.840738e-05,5
raw__311X92,311,0.00037773105,0.00013970003,5
proc__210__std_z,210,0.0003776302,0.00031456235,5
proc__400__min_z,400,0.00036987703,0.00017195978,5
raw__750X776,750,0.00036972197,0.00011703677,5
proc__440A__range_z,440A,0.00036950473,0.00012660946,5
raw__750X1212,750,0.00036729017,0.00013881952,5
proc__330__zero_rate,330,0.00036532947,0.00036826418,4
raw__311X94,311,0.00036438592,0.00020780493,5
proc__440A__std_z,440A,0.00036275113,0.000173156,5
proc__312__min_z,312,0.00036235913,0.00029343562,5
proc__520__zero_rate,520,0.00035612067,0.0003809302,5
raw__420X197,420,0.00035476257,0.00021801189,4
raw__344X177,344,0.0003546618,0.00050156756,1
raw__312X169,312,0.0003533892,,1
raw__312X478,312,0.00035223432,0.00011727003,2
proc__340__max_z,340,0.00035190306,0.00036095182,5
raw__311X162,311,0.000351745,0.00012477033,2
raw__210X179,210,0.00034819334,0.00025398307,5
proc__220__std_z,220,0.00034700168,0.00010548813,5
cat__Chamber ID_3,META,0.0003466589,0.00044761007,3
time__400__start_day,400,0.00034660968,0.00049105816,2
proc__360__zero_rate,360,0.00034616434,0.00047042625,5
raw__311X58,311,0.00034609082,,1
proc__344__q25_z,344,0.00034525018,0.00013809017,5
raw__311X95,311,0.0003415161,0.00023331656,4
missing__311X77,311,0.00034140935,0.00014651805,2
raw__311X194,311,0.00034106377,0.00060433743,4
raw__520X134,520,0.00034043542,,1
raw__210X132,210,0.00033991155,0.0003665317,2
proc__312__std_z,312,0.00033982605,0.00018965562,5
proc__400__q25_z,400,0.00033717867,0.00020512512,5
proc__750__q75_z,750,0.0003365208,0.00019056696,5
raw__210X66,210,0.0003351339,0.0004739509,1
raw__330X286,330,0.00033238094,0.00039503106,2
proc__330__max_z,330,0.00033119856,0.00018778526,5
proc__360__q25_z,360,0.00033059373,0.0002198407,5
raw__311X109,311,0.0003301154,0.00031347747,3
proc__360__median_z,360,0.00031870342,6.687781e-05,5
raw__520X67,520,0.00031364278,0.0004435579,1
proc__220__max_z,220,0.00031205307,0.000190337,5
raw__750X1267,750,0.00031033112,0.0003162791,3
raw__330X671,330,0.0003099041,,1
proc__340__range_z,340,0.0003037501,0.00013376176,5
raw__210X136,210,0.00030266817,,1
proc__312__range_z,312,0.00030197063,0.00014187975,5
raw__210X33,210,0.0003005245,8.045674e-05,2
proc__310__q75_z,310,0.0002990159,0.00011971789,5
