feature,operation,selected_folds,mean_stable_score,std_stable_score,mean_importance,mean_abs_correlation,mean_temporal_drift,selection_rate
311X68,311,5,0.9715772694843443,0.019927528982154778,0.0033056415050140425,0.37180120047673093,0.055981067125645725,1.0
311X204,311,5,0.9707876616185128,0.008331957244106087,0.004466638966274826,0.4010751191477156,0.09108322608322597,1.0
311X71,311,5,0.9682251742435989,0.01670614267420657,0.001948952626241374,0.2993902560022965,0.028571428571428754,1.0
344X73,344,5,0.9652884982804737,0.014894195353823988,0.0015856705667286544,0.2713658380603799,0.0,1.0
344X55,344,5,0.9631104317921283,0.006223792145084693,0.0012783682474490795,0.2703027546046293,0.0,1.0
311X73,311,5,0.9611769201375621,0.015420631503600618,0.002229984964725746,0.20549716028233522,0.0,1.0
311X197,311,5,0.9604706683080305,0.03252340786243179,0.0038576361490294414,0.3523602614361872,0.11346023524224577,1.0
344X1,344,5,0.9593121895299962,0.016536491389583626,0.001299916163543094,0.27288636828627844,0.0,1.0
311X127,311,5,0.958952999617883,0.017644854786207337,0.001526089852645394,0.2275808556320909,0.0,1.0
311X154,311,5,0.9578598875718185,0.05052420478175596,0.007307417338572456,0.4222509864524196,0.1974063400576369,1.0
750X91,750,5,0.9574780282766525,0.019397532699090912,0.0013662492047374283,0.2421272103953292,0.0,1.0
750X1212,750,5,0.9541648709185881,0.004788879306461812,0.0013113426156983036,0.2496469670483307,0.030920133634361656,1.0
311X131,311,5,0.9535880779518532,0.016830821464695014,0.0014107549324978185,0.22520575080135208,0.0,1.0
311X65,311,5,0.9505902362000459,0.02502871003225739,0.004592739091020858,0.3130790158634057,0.18060802276606147,1.0
420X38,420,5,0.9496369889186091,0.012917134794831768,0.0013667077909942321,0.1944814782016645,0.0,1.0
311X63,311,5,0.9483887796306133,0.02447156268005794,0.003980512686077656,0.31186461560994155,0.18329404951548595,1.0
311X61,311,5,0.947441529267417,0.021325405018488564,0.0037172921123327157,0.3118455469852328,0.18077174830174692,1.0
311X194,311,5,0.9461396005974849,0.014404158740040618,0.002488981493564862,0.3920185999865867,0.1428571428571646,1.0
750X1190,750,5,0.9456476881925869,0.03673427380369092,0.001184869021874117,0.2621251116293415,0.0,1.0
311X66,311,5,0.9445966481509321,0.02360528239493458,0.0035685211728264986,0.310814342146823,0.19582942385452307,1.0
311X62,311,5,0.9441368530680931,0.028640745169509856,0.0038933928223233924,0.3107421640089538,0.19571377309384935,1.0
344X77,344,5,0.9424608330149026,0.018615437070675082,0.0008889966998404487,0.2739431827241229,0.0,1.0
210X76,210,5,0.9415896064195642,0.01993146583299794,0.0009266285259430515,0.24923275563598724,0.0,1.0
311X117,311,5,0.9406954528085594,0.042339262577400893,0.0012051733856823777,0.23645888943054535,0.0,1.0
750X25,750,5,0.9403002262468867,0.020340268400345005,0.0013714481793761983,0.24302435924291052,0.07523809523809362,1.0
311X94,311,5,0.9400529573030123,0.015164623201036245,0.0012857003470444093,0.21719604731325864,0.05000000000000006,1.0
311X74,311,5,0.9395599505454484,0.028263928710782312,0.0018383704754618886,0.22431955576164325,0.09523809523809568,1.0
420X115,420,5,0.9376767290790982,0.02080331027697599,0.001254714642529112,0.1793908257625367,0.0,1.0
311X11,311,5,0.9354327542435265,0.00211567991573155,0.001859826703403027,0.22613985810670037,0.14761904761904948,1.0
311X67,311,5,0.9337485670615207,0.04177687534462459,0.0011048975584421097,0.2731199945994368,0.0,1.0
750X1391,750,5,0.9337179977072984,0.014329196279488615,0.0008564979709969288,0.21356323799119464,0.0,1.0
311X9,311,5,0.9336494683698845,0.004829357700530364,0.0026457568314777365,0.21144067014110152,0.16666666666666863,1.0
311X12,311,5,0.932469370675933,0.020633079855652974,0.0019573762996902442,0.2203840924785704,0.15428571428571677,1.0
344X83,344,5,0.9323653037829576,0.030815153848946408,0.0008226775909856605,0.2735953641380945,0.0,1.0
311X136,311,5,0.9320978219335115,0.052808552506791666,0.0010687590571525055,0.31492831246313974,0.0,1.0
311X211,311,5,0.9316684296972666,0.00930152296169475,0.0008680812494747898,0.30086809420479677,0.06507352941176728,1.0
750X1116,750,5,0.9313353579162553,0.021619842793377,0.0014356763976885276,0.24572048633496085,0.12500000000000167,1.0
420X36,420,5,0.9312648070309514,0.029010683568228505,0.0012825180225696357,0.18602999944301316,0.0,1.0
311X82,311,5,0.9298968284294993,0.027182410790458123,0.00295332910327614,0.1317082285406084,0.0,1.0
311X75,311,5,0.9291096675582728,0.04275711189689367,0.0012804892749397358,0.19469165870272495,0.0,1.0
311X119,311,5,0.9270691631639281,0.019961076579811936,0.0008881832589934561,0.1983149981902858,0.0,1.0
311X103,311,5,0.9269698127627054,0.02422769583777495,0.002669604333027059,0.13306136417425854,0.0,1.0
344X159,344,5,0.9252961406190294,0.01597660075057986,0.0008357680012223395,0.19232908568359985,0.0,1.0
344X149,344,5,0.9245471914405808,0.029042641179418544,0.0008672673656214295,0.19745622823307596,0.0,1.0
311X92,311,5,0.9243297416845981,0.01933018030508161,0.0010654913270147762,0.20816718773503368,0.04924242424242497,1.0
311X8,311,5,0.922870436524996,0.01602354143931686,0.001807173790439219,0.1997018086198759,0.13200000000000162,1.0
750X1105,750,5,0.9226141158308353,0.027186994954665984,0.0013182910895085304,0.31506265227426145,0.20000000000002666,1.0
420X34,420,5,0.9226136797860145,0.046499975208732724,0.0012339740879157442,0.18633623983322642,0.0,1.0
ERROR:#N/A_14,META,5,0.9214644771040069,0.043021189940505675,0.0008465614925486805,0.23239938494221296,0.02517887962876154,1.0
311X83,311,5,0.9208024455483377,0.02837280073020922,0.002277520465330438,0.12726534483991586,0.0,1.0
311X84,311,5,0.91961788307222,0.029267270694820203,0.0037254624673873104,0.11741504731948034,0.0,1.0
311X10,311,5,0.9195419799932303,0.03138973971730239,0.0013955409339133126,0.22730818781956558,0.1571428571428573,1.0
750X582,750,5,0.9177781073221623,0.028866851560467914,0.0008079955415832591,0.2140404649271884,0.017636393941176588,1.0
311X81,311,5,0.9162541789444244,0.026130768548719447,0.0024170516608559905,0.12340621751263767,0.00999999999999659,1.0
344X85,344,5,0.915949560565533,0.04157423920792456,0.000911724099768689,0.19319765496361396,0.0,1.0
311X85,311,5,0.9159037065341995,0.030390002142401264,0.002390804211543341,0.12082162701870236,0.0,1.0
420X35,420,5,0.915513947267864,0.0593791202071878,0.0010346599598158996,0.19740725307240017,0.0,1.0
750X785,750,5,0.9148643484906381,0.06791999674169064,0.0008014242123663085,0.25482289831982696,0.0,1.0
344X78,344,5,0.9148184944593044,0.05225252616116441,0.0007332622510984523,0.2744893307398678,0.0,1.0
420X141,420,5,0.9140466182651892,0.025193354755898505,0.00072848782128945,0.19250983334773059,0.0,1.0
210X3,210,5,0.9125594640017429,0.02054662225482064,0.0016064027905759062,0.17106265303271612,0.13939393939393951,1.0
311X182,311,5,0.9123261188998691,0.0435071835457051,0.0008685509045658875,0.21518272718487008,0.014285714285714285,1.0
311X93,311,5,0.9118833399900259,0.02908268937838355,0.0009202274293334011,0.17824203080660828,0.04999999999999934,1.0
311X80,311,5,0.9109896828429498,0.03431940381110974,0.0026251730876908365,0.1161452606265196,0.0,1.0
311X4,311,5,0.9096469085523431,0.02135635531182932,0.0022106497280616763,0.19490077142952944,0.2540653625302225,1.0
344X221,344,5,0.9085420080104342,0.033132494667566265,0.0006505472443317555,0.2276953775708038,0.02908608171804846,1.0
420X37,420,5,0.906557126480703,0.032469390721285185,0.0007235026333313634,0.19062823457923117,0.0,1.0
311X27,311,5,0.9059363413174942,0.03100282610899988,0.002100640160905493,0.19487285242481128,0.25407415171107073,1.0
311X104,311,5,0.905510126098586,0.03149600254929708,0.0028782694724056386,0.11226038896707694,0.0,1.0
311X72,311,5,0.9050448829689646,0.02112753269328229,0.0010967702580109502,0.16098039947081225,0.07805681350349969,1.0
750X47,750,5,0.904986071707258,0.03533893453353621,0.00078994196018247,0.25670104052090104,0.11111111111111112,1.0
210X159,210,5,0.9036000209144636,0.024937023697612973,0.0011862141314065294,0.20089420358917076,0.17609100917260959,1.0
420X71,420,5,0.9025907527703477,0.04142262412623519,0.0009037254744875655,0.15264318308531846,0.0,1.0
520X345,520,5,0.9024077266049405,0.022644620546302556,0.0008986091070785441,0.1656429076080001,0.05236357967016238,1.0
210X36,210,5,0.9019586673750893,0.04370605746542714,0.001335463419981481,0.18701467608092187,0.2,1.0
220X163,220,5,0.9014448553017225,0.04003572365371011,0.0008631281906393643,0.16465884814549475,0.021526119207544908,1.0
344X103,344,5,0.900343905235002,0.03517460521930871,0.00064322732029071,0.19275931483601574,0.0,1.0
210X167,210,5,0.8999477422417194,0.0241870019327858,0.0012322232647465224,0.155485149071579,0.13898066525171887,1.0
420X67,420,5,0.8987233494289366,0.03704501414991182,0.0008294016417776603,0.1541967885308666,0.004999999999998295,1.0
420X69,420,5,0.8984791746274359,0.03813025712859006,0.0008614725651164874,0.15297420999072966,0.0,1.0
