model,params,fold,mse,rmse,mae,r2,n_features,time_sec,config_id
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 800}",2,0.007899814080765014,0.08888089828959321,0.0690088934884704,0.8235542820941112,499,6.865089599999919,13
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 800}",3,0.010245066052178137,0.10121791369208386,0.07958750112745235,0.7695198651629063,499,6.846545399999741,13
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 800}",4,0.010917186534403883,0.10448534124174493,0.08074720307223764,0.7395498966961357,499,6.212061399997765,13
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 800}",5,0.020553395820740943,0.1433645556640167,0.08783414654896851,0.5671300700180595,499,6.333016599997791,13
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1200}",1,0.01065458008604398,0.10322102540686165,0.07780512430708295,0.7293007470836732,493,7.122455400000035,14
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1200}",2,0.00790474508706287,0.08890863336629841,0.06871316951376566,0.823444145964662,499,7.47717879999982,14
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1200}",3,0.010073553854694103,0.1003670954780206,0.07849677598399919,0.7733783229025636,499,7.187895099999878,14
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1200}",4,0.010930214986056347,0.10454766848694592,0.08079551198946355,0.739239078376042,499,7.3058827000022575,14
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1200}",5,0.020423280866594843,0.14291004466654836,0.0872436491368654,0.5698703885319467,499,7.448136800001521,14
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 800}",1,0.010863040455628994,0.1042259106730615,0.07982511847423215,0.7240044270172221,493,6.473719199999323,15
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 800}",2,0.00802739478508388,0.08959572972571785,0.06934104723541981,0.8207047126315472,499,6.719588100000692,15
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 800}",3,0.010618983231090904,0.10304845089127203,0.08006685723377378,0.7611079641195355,499,6.790442199999234,15
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 800}",4,0.010582873856748276,0.10287309588394954,0.07973086633021904,0.747525557014552,499,6.786252300000342,15
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 800}",5,0.020695297039698475,0.14385860085409727,0.0875881405496434,0.5641415239281471,499,6.351662799999758,15
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1200}",1,0.0107611073921362,0.10373575753873975,0.0792138502768749,0.7265942244481989,493,7.55469880000237,16
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1200}",2,0.007997324194916727,0.08942775964384173,0.06904697460232856,0.8213763520923816,499,7.2840632000006735,16
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1200}",3,0.010500565985786924,0.10247226935023408,0.07916389716896817,0.763771960869356,499,7.468552700000146,16
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1200}",4,0.010573705171104016,0.1028285231397593,0.07954464651877953,0.7477442933268503,499,7.0557203999997,16
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1200}",5,0.020565933052960526,0.14340827400453757,0.08699902288711685,0.5668660265052313,499,7.031393699999171,16
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",1,0.01351564835245746,0.1162568206706921,0.09008571203027983,0.6566100322918991,493,5.475984699998662,17
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",2,0.011913405748313996,0.10914854899774892,0.08748598977716744,0.7339089998227095,499,5.310399199999665,17
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",3,0.014367233377740207,0.1198633946529974,0.09259162175452515,0.6767847206379358,499,5.590868799998134,17
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",4,0.012943217246157036,0.1137682611546693,0.08828515023387615,0.6912151076449451,499,5.603654099999403,17
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",5,0.02576152015292075,0.1605039568139077,0.10040497208382711,0.45744306575509974,499,5.379308299998229,17
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",1,0.013588067907681911,0.1165678682471371,0.09037516425688273,0.6547700799580225,493,5.540228699999716,18
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",2,0.011928126292439742,0.10921596171091358,0.08771458287176867,0.7335802101892221,499,5.4168562999984715,18
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",3,0.014452839810625706,0.12021996427642834,0.09311328052787396,0.674858858755359,499,5.446244599999773,18
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",4,0.013032534322239853,0.11416012579810804,0.08814450174280873,0.689084280108083,499,5.416548500001227,18
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",5,0.02602998156630861,0.16133809707043345,0.1010616698563481,0.45178906705680255,499,5.09877140000026,18
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",1,0.013662095455248612,0.11688496676326093,0.09121535211280271,0.6528892736137366,493,4.9175150000010035,19
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",2,0.012107932712100639,0.11003605187437725,0.08802357299291545,0.7295641570926812,499,5.496983500001079,19
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",3,0.014452447324437317,0.12021833189841438,0.09271239910344234,0.6748676883977607,499,5.300068100001226,19
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",4,0.013511687161518616,0.11623978304142957,0.0900024334857642,0.6776531841846763,499,5.439519600000494,19
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",5,0.02635034293711904,0.16232788712084883,0.10238191831244685,0.44504201633286866,499,5.5743284999989555,19
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",1,0.013702412994251872,0.11705730645394107,0.09141349547536606,0.6518649321944157,493,5.289069599999493,20
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",2,0.012193941257064283,0.11042618012529584,0.08818968264234504,0.727643119545848,499,5.4206905999999435,20
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",3,0.014424635587715262,0.12010260441687041,0.09298774873242845,0.6754933605795803,499,5.196593500000745,20
RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",4,0.013414831366700955,0.11582241305853093,0.08998517184814639,0.6799638620948083,499,5.576748699997552,20
