feature,mean_importance,std_importance,min_importance,max_importance,selected_folds,stability,importance_cv
311X128,0.0011757646273062253,0.00035625064886569643,0.0006236923950331576,0.0016097004594898252,5,1.0,0.302994868436297
210X190,0.0011741640345980706,0.00032086276318699986,0.0008488624234139931,0.0015708457043661622,5,1.0,0.27326911186098934
420X40,0.0011697689733590488,0.0005041154049777587,0.0008418582116728172,0.0020202796451870945,5,1.0,0.43095296253174986
310X80,0.0011690700351162204,0.00019494631502553166,0.0008399750684150091,0.0013561519308797026,5,1.0,0.16675332443996668
210X163,0.001161276092058025,0.0001902514848582748,0.000935744717727206,0.0013932421474285748,5,1.0,0.16382967495462647
330X640,0.001153784541105768,0.0004144155238297709,0.0007357918771017196,0.0016758273518878639,5,1.0,0.35917929969266416
311X151,0.0011473857719999311,0.00024593401934094015,0.0007963388968386983,0.0014414194353283517,5,1.0,0.2143429220827152
310X72,0.0011420483573607281,0.0002852705052215501,0.0008763590029250442,0.0016135843583693348,5,1.0,0.2497884639762727
311X182,0.0011286233440389105,0.0003189941847912317,0.0008179924611909397,0.0016031905488399667,5,1.0,0.2826400731417035
210X83,0.0011142725897017574,0.00022410893698673477,0.0008482094650586354,0.0013680419560239188,5,1.0,0.2011257737620498
220X91,0.001113051942557571,0.00019127593839833666,0.0009280885881030569,0.001378009226232017,5,1.0,0.17184816890663215
310X60,0.0011102615715630382,0.0001881492622680757,0.0008925155125521037,0.0013760322268965225,5,1.0,0.1694639055495123
310X68,0.0011080875729509152,0.0002542333599482088,0.00082279540276353,0.0013934001251113158,5,1.0,0.22943435692698286
344X149,0.0011023589074123869,0.00010466070964836999,0.001029106821322737,0.001278073752073145,5,1.0,0.0949424990805417
311X95,0.0011023337797092326,0.00014847427211254826,0.0009434864123537352,0.0013030167957668083,5,1.0,0.13469084837173467
310X76,0.001093936578685032,0.0003827400404489949,0.0007083498105971194,0.0015969031147295136,5,1.0,0.3498740672509498
210X217,0.0010920906387753464,0.00032128195840087746,0.000656933432301952,0.0014117112438506076,5,1.0,0.29418982884696115
311X118,0.0010913157488762356,0.00030069977411329915,0.0007568362401270761,0.0015614105333229904,5,1.0,0.27553874682684737
344X73,0.0010865864537606639,0.00026367029745083146,0.0007216195972218272,0.001394709625980808,5,1.0,0.24265928982973434
311X211,0.0010841566487501055,0.00044607546450091276,0.0005945443046612087,0.001583227061170558,5,1.0,0.41144927220963107
311X163,0.001081451456919766,0.00026719828847410746,0.0008545159859238752,0.001410169776093153,5,1.0,0.24707376971693093
311X111,0.001068456406256447,0.00022100402015449408,0.000824994052243086,0.0014252825228163732,5,1.0,0.20684420876091905
520X250,0.0010683283520738648,9.991500244222984e-05,0.000966914656051626,0.0012329761408231862,5,1.0,0.09352461923784744
344X85,0.0010447715967577122,0.00020808043073538158,0.0006908911933430752,0.0012031052399492275,5,1.0,0.19916355994167875
311X113,0.001032122518428314,0.00019322561356697448,0.0006963933688343079,0.001171541078576302,5,1.0,0.18721189580671188
520X148,0.0010308133412008772,0.00013931686054600168,0.0008847266758175421,0.0011905725424413397,5,1.0,0.13515236448972218
311X209,0.0010086105749964748,0.00023056769607335777,0.0006407717810691608,0.001262387281100101,5,1.0,0.22859932421942364
220X95,0.0009950823700556099,0.00025635096640334534,0.000731471687946286,0.001336014837442138,5,1.0,0.2576178353269402
311X112,0.0009917280605468517,0.00040642078630099827,0.0006359018805425797,0.001528942758329748,5,1.0,0.409810715315529
311X75,0.000990916522905455,0.00031180592318727127,0.0006440948846251242,0.001364873098887403,5,1.0,0.3146641676317643
311X71,0.0009897576419391895,0.00022255440997181526,0.0005996073610948076,0.001132075355752582,5,1.0,0.22485748057566549
